,ip,date,asn,dns_name,port,pep_link
0,138.84.58.58,2025-05-17,14593,['customer.splobra1.pop.starlinkisp.net'],[ 161 1701 2000 2205],[False False False False]
1,129.222.100.53,2025-05-17,14593,['customer.sltyutx1.pop.starlinkisp.net'],[10443],[False]
2,149.19.173.128,2025-05-17,14593,['customer.splobra1.pop.starlinkisp.net'],[ 443 2000 8443],[False False False]
3,129.222.205.227,2025-05-17,14593,['customer.lgosnga1.pop.starlinkisp.net'],[  53  210  220  230  500 1701 1723 2000 8088 8729],[False False False False False False False False False False]
4,129.222.7.46,2025-05-17,14593,['customer.ashnvax2.pop.starlinkisp.net'],[500],[False]
5,169.155.253.72,2025-05-17,14593,['customer.lndngbr1.pop.starlinkisp.net'],[   81   443 10443 10443],[False False False False]
6,168.140.251.93,2025-05-17,14593,[],[500],[False]
7,98.97.124.86,2025-05-17,14593,[],[  161 32015],[False  True]
8,149.19.170.94,2025-05-17,14593,['customer.lsancax1.pop.starlinkisp.net'],[500],[False]
9,129.222.42.134,2025-05-17,14593,['customer.mplsmnx1.pop.starlinkisp.net'],[500],[False]
10,148.222.196.219,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[541],[False]
11,216.128.3.12,2025-05-17,14593,[],[  161 32015],[False  True]
12,145.224.91.34,2025-05-17,14593,[],[500],[False]
13,149.19.173.15,2025-05-17,14593,['customer.splobra1.pop.starlinkisp.net'],[ 161 2000],[False False]
14,212.105.147.192,2025-05-17,14593,[],[ 161 2000],[False False]
15,200.189.24.253,2025-05-17,14593,['customer.splobra1.pop.starlinkisp.net'],[ 500 3389],[False False]
16,212.105.146.8,2025-05-17,14593,['customer.lndngbr1.pop.starlinkisp.net'],[500],[False]
17,148.222.193.129,2025-05-17,14593,['customer.splobra1.pop.starlinkisp.net'],[   80 12443],[False False]
18,129.222.182.229,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[161 862],[False False]
19,169.155.236.18,2025-05-17,14593,['customer.mdrdesp1.pop.starlinkisp.net'],[500],[False]
20,143.105.24.14,2025-05-17,14593,['customer.splobra1.pop.starlinkisp.net'],[  80  443  500  554 4433 4443 9090],[False False False False False False False]
21,138.84.49.159,2025-05-17,14593,['customer.bgtacol1.pop.starlinkisp.net'],[  80  554 7681],[False False False]
22,148.222.214.81,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[ 80 443],[False False]
23,148.222.213.124,2025-05-17,14593,['customer.bnssarg1.pop.starlinkisp.net'],[  80  443 1194 1701 1723 2000],[False False False False False False]
