sample_size,num_endpoints,frac
1,271,0.23247232472324722
2,520,0.21743589743589745
3,783,0.22254150702426564
4,1038,0.21774245343609505
5,1287,0.21767676767676766
6,1545,0.21813376483279395
7,1812,0.21656548933039
8,2067,0.2195774875020158
9,2312,0.21818050749711648
10,2567,0.21798467731463447
15,3766,0.22103469640644363
20,4941,0.22628347837819604
25,6071,0.23372591006423982
30,7134,0.24444444444444444
35,8106,0.2579406201167859
40,8938,0.3467199970164839
45,9683,0.28425935488312853
50,10358,0.30026227714487996
60,11439,0.32905119911414166
70,12310,0.32755889520714865
80,12909,0.320578666046944
90,13292,0.3203505868191393
100,13596,0.3377819456702952
150,14384,0.32454926770485726
200,14747,0.30706358355371716
250,15074,0.30975520764229797
0,15146,0.4160735507724812
300,15179,0.3257867228846872
