sample_size,num_endpoints,frac
1,297,0.13108866442199776
2,579,0.12780656303972365
3,869,0.1301879555044112
4,1141,0.1422582529944493
5,1417,0.16703128675605738
6,1700,0.1887843137254902
7,1991,0.18288967018248786
8,2268,0.18967519106407996
9,2548,0.23463500784929356
10,2834,0.22389437779346036
15,4162,0.2747557264135832
20,5462,0.4085652386183327
25,6697,0.5028993081479269
30,7862,0.8010832697362842
35,8896,0.6116475569544364
40,9812,0.6248641119717353
45,10630,0.631961429915334
50,11373,0.6968096954775931
60,12507,0.7977972335492124
70,13436,0.6951634911183884
80,14062,0.7238455885838904
90,14360,0.782629990714949
100,14797,0.7486506273794238
150,15269,0.7970845067347785
200,15893,0.7773663457706748
300,16234,0.7339647242413042
250,16255,0.7497395673126217
