sample_size,num_endpoints,frac
1,470,0.0650709219858156
2,707,0.0296271637816245
3,929,0.021751684311838305
4,1151,0.09251294105879117
5,1376,0.24426399869590024
6,1599,0.0024006908462867013
7,1831,0.09889930090733304
8,2043,0.0006925207756232687
9,2271,0.003378060263653484
10,2485,0.0031723334392543164
15,3558,0.0003198294243070363
20,4563,0.00041104899704044723
25,5547,0.0008213081075486091
30,6474,0.00394172601271154
35,7308,0.0003631303875653295
40,7936,0.004115015378879672
45,8649,0.00012438877927425582
50,9056,0.00038765972391063564
60,10031,0.0029914529914529917
70,10750,0.0023937022289349627
80,11242,0.00405280832290775
90,11604,0.0003631058863617003
100,11888,0.0005279270273647383
150,12585,0.00011555712243179192
200,12951,0.00025693150375515273
250,13160,0.0002003713303553374
300,13355,0.00011804992340272145
