sample_size,num_endpoints,frac
1,406,0.007676518883415435
2,767,0.003389830508474576
3,1018,0.0034053700065487884
4,1274,0.004014803771561589
5,1529,0.0014388489208633094
6,1775,0.014716963579701382
7,2021,0.005105060668836934
8,2272,0.0035734684612117574
9,2331,0.0022987192849698024
10,2774,0.020839638035899718
15,3973,0.06434858233413591
20,5107,0.10051853590579168
25,6192,0.10271147627615537
30,7207,0.1081347904733841
35,8092,0.15952809805015597
40,8902,0.12361587964320836
45,9638,0.15761644170318603
50,10234,0.15087448011090968
60,11178,0.1419459355565013
80,11922,0.1942693345013372
100,12631,0.1710379541342017
90,12741,0.2001326158298244
200,14151,0.15615696133023313
250,14461,0.2143303554272793
70,14760,0.3301973507968423
150,16246,0.36729160740711403
300,16277,0.37938371317575076
