ip_at_ttl,dst,seq
129.222.110.111,129.222.110.111,26
129.222.110.117,129.222.110.117,30
129.222.110.120,129.222.110.120,33
129.222.110.121,129.222.110.121,21
129.222.110.122,129.222.110.122,38
129.222.110.123,129.222.110.123,18
129.222.110.127,129.222.110.127,30
129.222.110.13,129.222.110.13,27
129.222.110.135,129.222.110.135,8
129.222.110.142,129.222.110.142,24
129.222.110.153,129.222.110.153,14
129.222.110.156,129.222.110.156,21
129.222.110.162,129.222.110.162,14
129.222.110.167,129.222.110.167,6
129.222.110.17,129.222.110.17,12
129.222.110.170,129.222.110.170,26
129.222.110.173,129.222.110.173,21
129.222.110.176,129.222.110.176,15
129.222.110.177,129.222.110.177,17
129.222.110.178,129.222.110.178,11
129.222.110.179,129.222.110.179,31
129.222.110.180,129.222.110.180,32
129.222.110.193,129.222.110.193,22
129.222.110.204,129.222.110.204,27
129.222.110.205,129.222.110.205,27
129.222.110.206,129.222.110.206,32
129.222.110.208,129.222.110.208,9
129.222.110.213,129.222.110.213,16
129.222.110.215,129.222.110.215,14
129.222.110.218,129.222.110.218,30
129.222.110.219,129.222.110.219,24
129.222.110.220,129.222.110.220,33
129.222.110.221,129.222.110.221,9
129.222.110.225,129.222.110.225,12
129.222.110.243,129.222.110.243,28
129.222.110.250,129.222.110.250,19
129.222.110.254,129.222.110.254,29
129.222.110.29,129.222.110.29,8
129.222.110.45,129.222.110.45,35
129.222.110.51,129.222.110.51,17
129.222.110.52,129.222.110.52,10
129.222.110.73,129.222.110.73,20
129.222.110.78,129.222.110.78,12
129.222.110.8,129.222.110.8,18
129.222.110.81,129.222.110.81,28
129.222.110.89,129.222.110.89,22
129.222.110.93,129.222.110.93,30
129.222.110.94,129.222.110.94,16
129.222.111.102,129.222.111.102,18
129.222.111.104,129.222.111.104,33
129.222.111.107,129.222.111.107,11
129.222.111.112,129.222.111.112,29
129.222.111.114,129.222.111.114,20
129.222.111.115,129.222.111.115,14
129.222.111.116,129.222.111.116,22
129.222.111.12,129.222.111.12,25
129.222.111.125,129.222.111.125,29
129.222.111.127,129.222.111.127,13
129.222.111.134,129.222.111.134,31
129.222.111.139,129.222.111.139,19
129.222.111.14,129.222.111.14,18
129.222.111.141,129.222.111.141,26
129.222.111.146,129.222.111.146,29
129.222.111.147,129.222.111.147,25
