seq,dst,sec_last_ip,ip_at_ttl_seclast,start_time,rtt_seclast,rtt_endpoint,dns_trunc,subnet,country,region,city,sat_rtt
14,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:26,73.027,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
23,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:35,65.879,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
24,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:36,69.297,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
25,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:37,65.742,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
26,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:38,65.797,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
27,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:39,65.713,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
28,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:40,65.886,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
29,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:41,65.889,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
30,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:42,65.692,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
31,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:43,65.825,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
32,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:44,65.855,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
33,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:45,67.119,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
34,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:46,65.797,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
35,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:47,65.919,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
36,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:48,71.842,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
37,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:49,65.643,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
38,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:50,65.941,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
39,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:51,85.413,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
40,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:52,65.805,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
41,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:53,65.731,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
42,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:54,65.711,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
43,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:55,65.756,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
44,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:56,124.88,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
45,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:57,68.291,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
46,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:58,65.682,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
47,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:59,65.698,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
48,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:00,69.15,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
49,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:01,65.793,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
50,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:02,65.801,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
51,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:04,65.682,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
52,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:04,65.76,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
53,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:05,65.753,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
54,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:06,65.782,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
55,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:08,65.707,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
57,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:09,65.711,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
59,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:11,92.729,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
97,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:46:49,65.64,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
119,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:47:11,65.726,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
129,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:47:22,65.96,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
166,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:47:58,65.736,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
173,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:05,65.68,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
174,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:06,65.608,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
175,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:07,65.728,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
176,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:08,66.187,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
177,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:10,65.69,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
179,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:11,65.691,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
194,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:26,82.137,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
202,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:34,65.774,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
206,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:39,65.615,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
218,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:50,68.497,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
232,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:04,67.433,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
