seq,dst,sec_last_ip,ip_at_ttl_seclast,start_time,rtt_seclast,rtt_endpoint,dns_trunc,subnet,country,region,city,sat_rtt
7,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:19,65.517,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
14,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:26,65.424,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
23,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:35,65.507,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
24,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:36,65.812,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
25,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:37,65.463,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
26,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:38,65.51,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
27,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:39,65.561,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
28,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:40,65.591,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
29,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:41,65.54,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
30,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:42,65.485,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
31,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:43,65.759,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
32,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:45:44,65.849,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
