seq,dst,sec_last_ip,ip_at_ttl_seclast,start_time,rtt_seclast,rtt_endpoint,dns_trunc,subnet,country,region,city,sat_rtt
14,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:26,62.432,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
23,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:36,62.488,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
24,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:37,62.687,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
25,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:38,62.414,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
26,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:39,62.499,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
27,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:40,62.494,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
28,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:41,62.48,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
29,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:42,62.503,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
30,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:43,62.488,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
31,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:44,62.396,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
32,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:45,62.516,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
33,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:46,62.489,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
34,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:47,62.45,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
35,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:48,62.486,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
36,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:49,62.498,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
37,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:50,62.443,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
38,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:51,62.461,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
39,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:45:52,62.523,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
