dst,sec_last_ip,dns_trunc,subnet,country,region
216.234.196.43,206.224.68.23,ashnvax2,216.234.196.0/24,US,US-VA
129.222.4.122,,ashnvax2,129.222.4.0/24,US,US-VA
216.234.207.99,206.224.68.19,ashnvax2,216.234.207.0/24,US,US-VA
216.234.207.252,206.224.68.31,ashnvax2,216.234.207.0/24,US,US-VA
216.234.196.91,,ashnvax2,216.234.196.0/24,US,US-VA
129.222.6.194,206.224.68.31,ashnvax2,129.222.6.0/24,US,US-VA
216.234.207.33,206.224.68.23,ashnvax2,216.234.207.0/24,US,US-VA
98.97.155.19,206.224.68.21,ashnvax2,98.97.155.0/24,US,US-VA
216.234.207.206,206.224.68.23,ashnvax2,216.234.207.0/24,US,US-VA
216.234.207.243,206.224.68.23,ashnvax2,216.234.207.0/24,US,US-VA
129.222.6.212,206.224.68.33,ashnvax2,129.222.6.0/24,US,US-VA
216.234.196.54,206.224.68.21,ashnvax2,216.234.196.0/24,US,US-VA
98.97.155.203,206.224.68.29,ashnvax2,98.97.155.0/24,US,US-VA
216.234.196.158,206.224.68.23,ashnvax2,216.234.196.0/24,US,US-VA
143.105.51.169,,ashnvax2,143.105.51.0/24,US,US-VA
216.234.206.71,,ashnvax2,216.234.206.0/24,US,US-VA
216.234.207.9,206.224.68.21,ashnvax2,216.234.207.0/24,US,US-VA
143.105.2.178,206.224.68.21,ashnvax2,143.105.2.0/24,US,US-VA
98.97.152.68,,ashnvax2,98.97.152.0/24,US,US-VA
129.222.7.225,206.224.68.21,ashnvax2,129.222.7.0/24,US,US-VA
98.97.152.47,,ashnvax2,98.97.152.0/24,US,US-VA
129.222.162.72,,ashnvax2,129.222.162.0/24,US,US-VA
129.222.162.99,,ashnvax2,129.222.162.0/24,US,US-VA
216.234.207.120,206.224.68.19,ashnvax2,216.234.207.0/24,US,US-VA
98.97.152.94,,ashnvax2,98.97.152.0/24,US,US-VA
143.105.2.109,206.224.68.19,ashnvax2,143.105.2.0/24,US,US-VA
129.222.162.159,206.224.68.23,ashnvax2,129.222.162.0/24,US,US-VA
98.97.155.241,206.224.68.19,ashnvax2,98.97.155.0/24,US,US-VA
129.222.5.194,,ashnvax2,129.222.5.0/24,US,US-VA
129.222.6.95,206.224.68.29,ashnvax2,129.222.6.0/24,US,US-VA
143.105.50.188,206.224.68.19,ashnvax2,143.105.50.0/24,US,US-VA
129.222.6.158,,ashnvax2,129.222.6.0/24,US,US-VA
216.234.207.66,206.224.68.29,ashnvax2,216.234.207.0/24,US,US-VA
98.97.155.46,206.224.68.21,ashnvax2,98.97.155.0/24,US,US-VA
216.234.196.155,,ashnvax2,216.234.196.0/24,US,US-VA
143.105.52.139,,ashnvax2,143.105.52.0/24,US,US-VA
98.97.152.202,206.224.68.21,ashnvax2,98.97.152.0/24,US,US-VA
216.234.196.239,,ashnvax2,216.234.196.0/24,US,US-VA
129.222.4.79,206.224.68.23,ashnvax2,129.222.4.0/24,US,US-VA
216.234.207.4,206.224.68.21,ashnvax2,216.234.207.0/24,US,US-VA
129.222.162.114,206.224.68.31,ashnvax2,129.222.162.0/24,US,US-VA
216.234.207.119,,ashnvax2,216.234.207.0/24,US,US-VA
216.234.207.131,206.224.68.29,ashnvax2,216.234.207.0/24,US,US-VA
129.222.5.254,,ashnvax2,129.222.5.0/24,US,US-VA
143.105.50.34,206.224.68.21,ashnvax2,143.105.50.0/24,US,US-VA
129.222.6.186,206.224.68.21,ashnvax2,129.222.6.0/24,US,US-VA
129.222.7.86,,ashnvax2,129.222.7.0/24,US,US-VA
